"","Position","Year","Team"
"1",1,"1908","Eastern Sydney"
"2",2,"1908","South Sydney"
"3",3,"1908","Glebe"
"4",4,"1908","North Sydney"
"5",5,"1908","Newcastle"
"6",6,"1908","Balmain"
"7",7,"1908","Newtown"
"8",8,"1908","Cumberland"
"9",9,"1908","Western Suburbs"
"21",1,"1909","South Sydney"
"22",2,"1909","Balmain"
"23",3,"1909","Eastern Sydney"
"24",4,"1909","Newcastle"
"25",5,"1909","Glebe"
"26",6,"1909","Newtown"
"27",7,"1909","North Sydney"
"28",8,"1909","Western Suburbs"
"41",1,"1910","Newtown"
"42",2,"1910","South Sydney"
"43",3,"1910","Eastern Sydney"
"44",4,"1910","Balmain"
"45",5,"1910","Glebe"
"46",6,"1910","Annandale"
"47",7,"1910","North Sydney"
"48",8,"1910","Western Suburbs"
"61",1,"1911","Glebe"
"62",2,"1911","Eastern Sydney"
"63",3,"1911","South Sydney"
"64",4,"1911","Newtown"
"65",5,"1911","Annandale"
"66",6,"1911","North Sydney"
"67",7,"1911","Western Suburbs"
"68",8,"1911","Balmain"
"81",1,"1912","Eastern Sydney"
"82",2,"1912","Glebe"
"83",3,"1912","Newtown"
"84",4,"1912","South Sydney"
"85",5,"1912","Balmain"
"86",6,"1912","North Sydney"
"87",7,"1912","Annandale"
"88",8,"1912","Western Suburbs"
"101",1,"1913","Eastern Sydney"
"102",2,"1913","Newtown"
"103",3,"1913","South Sydney"
"104",4,"1913","Glebe"
"105",5,"1913","North Sydney"
"106",6,"1913","Balmain"
"107",7,"1913","Annandale"
"108",8,"1913","Western Suburbs"
"121",1,"1914","South Sydney"
"122",2,"1914","Newtown"
"123",3,"1914","Balmain"
"124",4,"1914","Eastern Sydney"
"125",5,"1914","Glebe"
"126",6,"1914","North Sydney"
"127",7,"1914","Western Suburbs"
"128",8,"1914","Annandale"
"141",1,"1915","Balmain"
"142",2,"1915","Glebe"
"143",3,"1915","Newtown"
"144",4,"1915","South Sydney"
"145",5,"1915","Eastern Sydney"
"146",6,"1915","Annandale"
"147",7,"1915","North Sydney"
"148",8,"1915","Western Suburbs"
"161",1,"1916","Balmain"
"162",2,"1916","South Sydney"
"163",3,"1916","Glebe"
"164",4,"1916","Eastern Sydney"
"165",5,"1916","North Sydney"
"166",6,"1916","Newtown"
"167",7,"1916","Annandale"
"168",8,"1916","Western Suburbs"
"181",1,"1917","Balmain"
"182",2,"1917","South Sydney"
"183",3,"1917","Newtown"
"184",4,"1917","Western Suburbs"
"185",5,"1917","Eastern Sydney"
"186",6,"1917","Glebe"
"187",7,"1917","Annandale"
"188",8,"1917","North Sydney"
"201",1,"1918","South Sydney"
"202",2,"1918","Western Suburbs"
"203",3,"1918","Glebe"
"204",4,"1918","Balmain"
"205",5,"1918","Eastern Sydney"
"206",6,"1918","North Sydney"
"207",7,"1918","Newtown"
"208",8,"1918","Annandale"
"221",1,"1919","Balmain"
"222",2,"1919","Eastern Sydney"
"223",3,"1919","Glebe"
"224",4,"1919","Western Suburbs"
"225",5,"1919","Newtown"
"226",6,"1919","South Sydney"
"227",7,"1919","Annandale"
"228",8,"1919","North Sydney"
"241",1,"1920","Balmain"
"242",2,"1920","Glebe"
"243",3,"1920","South Sydney"
"244",4,"1920","Western Suburbs"
"245",5,"1920","Eastern Sydney"
"246",6,"1920","Newtown"
"247",7,"1920","North Sydney"
"248",8,"1920","University"
"249",9,"1920","Annandale"
"261",1,"1921","North Sydney"
"262",2,"1921","Eastern Sydney"
"263",3,"1921","Glebe"
"264",4,"1921","Balmain"
"265",5,"1921","South Sydney"
"266",6,"1921","Newtown"
"267",7,"1921","St George"
"268",8,"1921","Western Suburbs"
"269",9,"1921","University"
"281",1,"1922","Glebe"
"282",2,"1922","North Sydney"
"283",3,"1922","Eastern Sydney"
"284",4,"1922","South Sydney"
"285",5,"1922","Balmain"
"286",6,"1922","Western Suburbs"
"287",7,"1922","Newtown"
"288",8,"1922","University"
"289",9,"1922","St George"
"301",1,"1923","Eastern Sydney"
"302",2,"1923","South Sydney"
"303",3,"1923","Balmain"
"304",4,"1923","Western Suburbs"
"305",5,"1923","North Sydney"
"306",6,"1923","Glebe"
"307",7,"1923","Newtown"
"308",8,"1923","St George"
"309",9,"1923","University"
"321",1,"1924","Balmain"
"322",2,"1924","South Sydney"
"323",3,"1924","Glebe"
"324",4,"1924","St George"
"325",5,"1924","Western Suburbs"
"326",6,"1924","Eastern Sydney"
"327",7,"1924","North Sydney"
"328",8,"1924","Newtown"
"329",9,"1924","University"
"341",1,"1925","South Sydney"
"342",2,"1925","Western Suburbs"
"343",3,"1925","Balmain"
"344",4,"1925","North Sydney"
"345",5,"1925","St George"
"346",6,"1925","Glebe"
"347",7,"1925","University"
"348",8,"1925","Eastern Sydney"
"349",9,"1925","Newtown"
"361",1,"1926","South Sydney"
"362",2,"1926","Eastern Sydney"
"363",3,"1926","Glebe"
"364",4,"1926","University"
"365",5,"1926","Western Suburbs"
"366",6,"1926","Newtown"
"367",7,"1926","North Sydney"
"368",8,"1926","Balmain"
"369",9,"1926","St George"
"381",1,"1927","South Sydney"
"382",2,"1927","St George"
"383",3,"1927","Eastern Sydney"
"384",4,"1927","Western Suburbs"
"385",5,"1927","Newtown"
"386",6,"1927","North Sydney"
"387",7,"1927","Balmain"
"388",8,"1927","Glebe"
"389",9,"1927","University"
"401",1,"1928","Eastern Sydney"
"402",2,"1928","St George"
"403",3,"1928","South Sydney"
"404",4,"1928","North Sydney"
"405",5,"1928","University"
"406",6,"1928","Glebe"
"407",7,"1928","Western Suburbs"
"408",8,"1928","Balmain"
"409",9,"1928","Newtown"
"421",1,"1929","South Sydney"
"422",2,"1929","St George"
"423",3,"1929","Western Suburbs"
"424",4,"1929","Newtown"
"425",5,"1929","North Sydney"
"426",6,"1929","Balmain"
"427",7,"1929","Eastern Sydney"
"428",8,"1929","Glebe"
"429",9,"1929","University"
"441",1,"1930","Western Suburbs"
"442",2,"1930","Eastern Sydney"
"443",3,"1930","South Sydney"
"444",4,"1930","St George"
"445",5,"1930","Newtown"
"446",6,"1930","Balmain"
"447",7,"1930","North Sydney"
"448",8,"1930","University"
"461",1,"1931","Eastern Sydney"
"462",2,"1931","South Sydney"
"463",3,"1931","Western Suburbs"
"464",4,"1931","St George"
"465",5,"1931","North Sydney"
"466",6,"1931","Balmain"
"467",7,"1931","Newtown"
