"","Adelaide","Annandale","Balmain","Brisbane","Canberra","Canterbury","Cronulla","Cumberland","Eastern.Sydney","Glebe","Gold.Coast","Gold.Coast.Titans","Illawarra","Manly.Warringah","Melbourne","Newcastle","Newtown","North.Queensland","North.Sydney","Parramatta","Penrith","South.Queensland","South.Sydney","St.George","St.George.Illawarra","University","Warriors","Western.Reds","Western.Suburbs","Wests.Tigers"
"1908",,,6,,,,,8,1,3,,,,,,5,7,,4,,,,2,,,,,,9,
"1909",,,2,,,,,,3,5,,,,,,4,6,,7,,,,1,,,,,,8,
"1910",,6,4,,,,,,3,5,,,,,,,1,,7,,,,2,,,,,,8,
"1911",,5,8,,,,,,2,1,,,,,,,4,,6,,,,3,,,,,,7,
"1912",,7,5,,,,,,1,2,,,,,,,3,,6,,,,4,,,,,,8,
"1913",,7,6,,,,,,1,4,,,,,,,2,,5,,,,3,,,,,,8,
"1914",,8,3,,,,,,4,5,,,,,,,2,,6,,,,1,,,,,,7,
"1915",,6,1,,,,,,5,2,,,,,,,3,,7,,,,4,,,,,,8,
"1916",,7,1,,,,,,4,3,,,,,,,6,,5,,,,2,,,,,,8,
"1917",,7,1,,,,,,5,6,,,,,,,3,,8,,,,2,,,,,,4,
"1918",,8,4,,,,,,5,3,,,,,,,7,,6,,,,1,,,,,,2,
"1919",,7,1,,,,,,2,3,,,,,,,5,,8,,,,6,,,,,,4,
"1920",,9,1,,,,,,5,2,,,,,,,6,,7,,,,3,,,8,,,4,
"1921",,,4,,,,,,2,3,,,,,,,6,,1,,,,5,7,,9,,,8,
"1922",,,5,,,,,,3,1,,,,,,,7,,2,,,,4,9,,8,,,6,
"1923",,,3,,,,,,1,6,,,,,,,7,,5,,,,2,8,,9,,,4,
"1924",,,1,,,,,,6,3,,,,,,,8,,7,,,,2,4,,9,,,5,
"1925",,,3,,,,,,8,6,,,,,,,9,,4,,,,1,5,,7,,,2,
"1926",,,8,,,,,,2,3,,,,,,,6,,7,,,,1,9,,4,,,5,
"1927",,,7,,,,,,3,8,,,,,,,5,,6,,,,1,2,,9,,,4,
