"Season","Team","No.Years"
"1998","Adelaide","1"
"1965","Balmain","24"
"1966","Balmain","25"
"1967","Balmain","26"
"1968","Balmain","27"
"1969","Balmain","28"
"1970","Balmain","29"
"1971","Balmain","30"
"1972","Balmain","31"
"1973","Balmain","32"
"1974","Balmain","33"
"1975","Balmain","34"
"1976","Balmain","35"
"1977","Balmain","36"
"1978","Balmain","37"
"1979","Balmain","38"
"1980","Balmain","39"
"1981","Balmain","40"
"1982","Balmain","41"
"1983","Balmain","42"
"1984","Balmain","43"
"1985","Balmain","44"
"1986","Balmain","45"
"1987","Balmain","46"
"1988","Balmain","47"
"1989","Balmain","48"
"1990","Balmain","49"
"1991","Balmain","50"
"1992","Balmain","51"
"1993","Balmain","52"
"1994","Balmain","53"
"1995","Balmain","54"
"1996","Balmain","55"
"1997","Balmain","56"
"1998","Balmain","57"
"1999","Balmain","58"
"1988","Brisbane","1"
"1989","Brisbane","2"
"1990","Brisbane","3"
"1991","Brisbane","4"
"1992","Brisbane","0"
"1993","Brisbane","1"
"1994","Brisbane","2"
"1995","Brisbane","3"
"1996","Brisbane","4"
"1997","Brisbane","5"
"1998","Brisbane","0"
"1999","Brisbane","1"
"2000","Brisbane","0"
"2001","Brisbane","1"
"2002","Brisbane","2"
"2003","Brisbane","3"
"2004","Brisbane","4"
"2005","Brisbane","5"
"2006","Brisbane","6"
"2007","Brisbane","7"
"2008","Brisbane","8"
"2009","Brisbane","9"
"2010","Brisbane","10"
"2011","Brisbane","11"
"2012","Brisbane","12"
"2013","Brisbane","13"
"2014","Brisbane","14"
"2015","Brisbane","15"
"1982","Canberra","1"
"1983","Canberra","2"
"1984","Canberra","3"
"1985","Canberra","4"
"1986","Canberra","5"
"1987","Canberra","6"
"1988","Canberra","7"
"1989","Canberra","8"
"1990","Canberra","0"
"1991","Canberra","1"
"1992","Canberra","2"
"1993","Canberra","3"
"1994","Canberra","4"
"1995","Canberra","5"
"1996","Canberra","6"
"1997","Canberra","7"
